编号,名称,描述,介绍,特性,属性,总种族值,生命,物攻,魔攻,物防,魔防,速度,阶段,进化等级,进化方式,身高,体重,蛋组,性别比例,进化链,有地区形态,有首领形态,有异色形态
349,辉光幕机,独轮车精灵,经常对着空气练习，有洛克靠近时会立刻启动表演程序。有时显得笨拙不够善解人意，如果小洛克曾因为它的笑话而微笑，它可以不眠不休追着小洛克讲三天三夜的笑话，然后直接昏倒。,狂欢开始-在场时，背包里会变化出随机精灵，随机精灵只能与本精灵相互更换。本精灵受到的克制伤害+25%。,机械,478,83,91,84,104,72,44,2,28,突破1次,1.03-1.41,31.5-57.6,,雄性 50% / 雌性 50%,钨丝贝贝进化链,否,否,否
350,机幕方舟,马戏团精灵,努力观察着所有洛克，曾经因为什么而变得快乐。它默默地把这些瞬间记录下来，尝试动手改造自己，用机械系的魔法制作成「心脏」，希望能够模拟感受到洛克从心底感受到的快乐。,狂欢开始-在场时，背包里会变化出随机精灵，随机精灵只能与本精灵相互更换。本精灵受到的克制伤害+25%。,机械,597,104,113,105,130,90,55,3,40,突破2次,1.68-2.01,128.0-237.0,,雄性 50% / 雌性 50%,钨丝贝贝进化链,否,否,否
351,凡雀,平凡精灵,和普通的鸟精灵看起来差不多，小小的，连叫声都不怎么响亮，只是独自站在崖石上，每天扑扇几下翅膀，比昨天多飞出一点点距离。 “走自己最平凡的路，按照自己的意志行动，追逐自己最真实的梦想”。,展翅-在场时，自己携带的普通系技能变为翼系技能，若后于对手行动，自己受到的伤害+25%。,翼,372,71,55,53,52,66,75,1,0,,0.35-0.5,3.08-6.0,,雄性 50% / 雌性 50%,凡雀进化链,否,否,否
352,紫翎鹰,不屈精灵,"安静独立的精灵，在长期在高空迎风飞行后，翅膀尖端开始显出橘色的翎羽，它们一天一天地练习，一根羽毛一根羽毛地蜕变，翼系研究员管这个过程叫""凡羽蜕金""。",展翅-在场时，自己携带的普通系技能变为翼系技能，若后于对手行动，自己受到的伤害+25%。,翼,496,94,74,71,69,88,100,2,28,突破1次,0.65-0.85,13.04-20.5,,雄性 50% / 雌性 50%,凡雀进化链,否,否,否
353,凡鹰,非凡精灵,身形变成了梭形，修长的尾羽薄而宽，能把横着吹来的山风悄悄转成向上的托力。研究院测过它的风阻系数，低得离谱，但凡鹰自己好像并不在意这些数据。它飞得很稳，不快不慢，从平凡到非凡，它从没停过，也从没急过。,展翅-在场时，自己携带的普通系技能变为翼系技能，若后于对手行动，自己受到的伤害+25%。,翼,620,118,92,89,86,110,125,3,40,突破2次,1.64-2.23,46.35-68.27,,雄性 50% / 雌性 50%,凡雀进化链,否,否,否
354,小雪人,小雪球精灵,头顶的眼是精致的拟态结构，而真正的眼部和头部在腹部，都还很脆弱。魔法师们发现，它的腹部有厚厚的抗冻组织，能在极寒环境中保护核心器官。,大雪球-自己使用2次不同的冰系技能后，对手获得4层冻结，随后特性重置。,冰,509,101,85,80,78,105,60,1,0,,0.75-0.94,43.3-87.5,,雄性 50% / 雌性 50%,小雪人进化链,否,否,是
355,雪怪,大雪球精灵,吃掉足够多的暴风雪后就会进化成这个样子。手里永远攥着两个雪球，试图让自己看起来凶猛一些，但其实是个温柔的大家伙，经常偷偷帮迷路的精灵们搭建避风的小雪屋。,大雪球-自己使用2次不同的冰系技能后，对手获得4层冻结，随后特性重置。,冰,636,126,107,99,98,131,75,2,40,生涯使用[滚雪球]15次,1.75-2.33,120.0-187.4,,雄性 50% / 雌性 50%,小雪人进化链,否,否,是
356,爆焰仔,小火球精灵,肚子里有一个小小的爆焰囊，当蓄满火焰时，肚子会鼓成圆滚滚的球状。如果看到它突然捂住肚子，最好赶紧躲开——那是爆焰囊过载的警告！,大火球-自己使用2次不同的火系技能后，下次技能无需蓄力，随后特性重置。,火-龙,498,89,101,50,105,65,88,1,0,,0.65-0.85,21.0-38.5,,雄性 50% / 雌性 50%,爆焰仔进化链,否,否,是
357,爆焰喷喷,大火球精灵,腹部的爆焰囊扩张了三倍，蓄能时会使整个躯体膨胀如热气球，火焰甚至会从鳞片间隙逸散。古代文献记载，曾有爆焰喷喷在火山口蓄能三天三夜，最终喷射的龙焰照亮了整个夜空。,大火球-自己使用2次不同的火系技能后，下次技能无需蓄力，随后特性重置。,火-龙,624,112,127,63,131,81,110,2,40,生涯使用[流星火雨]15次,1.65-1.81,47.5-69.5,,雄性 50% / 雌性 50%,爆焰仔进化链,否,否,是
358,猴麦仔,吼猴精灵,经常抓着尾巴不停讲话，通过奇妙的头部和尾部结构将自己的声音放大，这是在向周围散播“和我一起玩吧”的信号。如果观察到猴麦仔这样做，可以去和它玩耍试试，它会很开心自己的声音被洛克所听到。,换碟-自己携带的音波弹/音爆/金属噪音/午夜噪音威力提升，且获得巧变：同系别技能。,普通-机械,529,93,75,121,50,102,88,1,0,,0.57-0.79,8.4-17.6,动物组-机械组,雄性 50% / 雌性 50%,猴麦仔进化链,否,否,是
359,音碟吼,唱片精灵,进化后嗓门大得惊人，更加渴望被听到，想让所有洛克都听见自己的声音。同类碰面时会争抢谁先拿麦，双方轮流对着吼，谁的声音更大谁就赢。有研究员曾记录到两只音碟吼对峙了整整一周，最终以一方嗓子沙哑告终。,换碟-自己携带的音波弹/音爆/金属噪音/午夜噪音威力提升，且获得巧变：同系别技能。,普通-机械,661,116,94,151,63,127,110,2,32,,0.77-1.08,23.1-40.8,动物组-机械组,雄性 50% / 雌性 50%,猴麦仔进化链,否,否,是
360,加油海葵,海葵精灵,身体柔软，会随着水流轻轻摇摆，安静无害，常被误认为普通的装饰，似乎并不想进化。曾有洛克研究员研究这一物种后感概：生命自有出路。,拉拉队长-若自己在萌化状态下再获得萌化会解除萌化。,水-萌,547,93,87,87,102,102,76,1,0,,0.35-0.47,2.9-4.15,妖精组-两栖组,雄性 50% / 雌性 50%,加油海葵进化链,是,否,是
361,加油蟹,螃蟹精灵,加油海葵放弃了锤炼自己变得更强这一进化手段，它们和加油蟹一起构建出特殊的共生关系。这个世界足够宽容，小小精灵不必努力变得更强大，只要健康快乐就好。,拉拉队长-若自己在萌化状态下再获得萌化会解除萌化。,水-萌,683,116,108,108,128,128,95,2,28,在他人世界中,0.51-0.78,6.75-11.7,妖精组-两栖组,雄性 50% / 雌性 50%,加油海葵进化链,是,否,是
362,小丑豆豆,小丑精灵,在人群中偶尔觉得焦虑的小朋友，看起来有些多动，总是晃悠身体，实际上是在缓解焦虑给自己勇气，不太善于表达。,戏耍-自己无法回复生命，而是将回复生命变为敌方扣除等量生命。,恶,436,66,87,88,49,74,72,1,0,,0.48-0.65,4.85-6.35,妖精组-拟人组,雄性 50% / 雌性 50%,小丑豆豆进化链,否,否,是
363,小丑兔,小丑精灵,仍然有些闲不住，但它正在学着克制，想蹦的时候就抛球，把冲动转化到了抛球中。不过偶尔还是会忍不住，球抛着抛着身体就跟着飞了出去。,戏耍-自己无法回复生命，而是将回复生命变为敌方扣除等量生命。,恶,583,88,116,118,66,99,96,2,16,累计跟随1分钟,0.78-0.96,11.75-14.75,妖精组-拟人组,雄性 50% / 雌性 50%,小丑豆豆进化链,否,否,是
364,小丑公爵,小丑精灵,依然爱动，所有躁动化作指尖球技，它的迈步从容而有节奏，抛球的轨迹优雅得像一门艺术。它的耳朵随着每一次弹跳有规律地颤动，就像洛克喜欢抖腿，这是它唯一泄露出来的小破绽。,戏耍-自己无法回复生命，而是将回复生命变为敌方扣除等量生命。,恶,729,111,145,147,82,124,120,3,36,,1.24-1.63,38.5-47.6,妖精组-拟人组,雄性 50% / 雌性 50%,小丑豆豆进化链,否,否,是
365,烟花团,烟花精灵,爱扎堆聊天的小话痨，走到哪聊到哪，头顶的烟花就是它们的聊天气泡，聊得越开心，烟花崩得越热闹。脑袋上噼里啪啦闪个不停，如果看到落单的烟花团一整天头上都没有冒出烟花，请多关心它的心理健康。,焰色反应-在场时，衰减的灼烧变为相同层数的中毒。,火-毒,389,61,35,89,50,78,76,1,0,,0.33-0.5,5.05-6.32,机械组-魔力组,雄性 50% / 雌性 50%,烟花团进化链,否,否,是
366,烟花伯爵,烟花精灵,进化后社交圈更广了，走在城镇街道上，即使遇到不认识的精灵也能停下来聊两句。它们主动承担了一些王国业务，负责节日庆典的烟花表演，几只烟花伯爵就能组成一个专业团队。,焰色反应-在场时，衰减的灼烧变为相同层数的中毒。,火-毒,485,76,44,111,62,97,95,2,36,跟随1分钟,0.6-0.88,10.5-22.5,机械组-魔力组,雄性 50% / 雌性 50%,烟花团进化链,否,否,是
367,咕咕帽,鸽子精灵,看到洛克就想展示刚学的魔法。可惜魔力还不够，变得不太好，偶尔还有可能失败，表演失败之后它会钻进帽子里面反思，过一会儿又探出脑袋继续尝试。,魔术帽-在场时，场上双方携带的技能获得巧变：同系别技能。,幽,515,103,74,72,110,76,80,1,0,,0.38-0.55,2.18-5.76,妖精组,雄性 50% / 雌性 50%,咕咕帽进化链,否,否,是
368,咕德帽帽,魔术师精灵,认为变出东西的魔法很厉害，于是想要传授给其他精灵这项技术，可惜其他精灵都不是很感兴趣，只有咕咕帽不厌其烦地每天请教，它很开心，于是更加殷切地陪练。,魔术帽-在场时，场上双方携带的技能获得巧变：同系别技能。,幽,642,128,92,90,137,95,100,2,36,累计跟随1分钟,0.69-0.96,7.68-14.3,妖精组,雄性 50% / 雌性 50%,咕咕帽进化链,否,否,是
369,炫光迪迪,灯球精灵,自己不能发光，但背部覆盖着镜面般的鳞片，蜷缩成球就可以把微小的光芒反射成绚烂的闪光。拥有很多的爱，常常兴奋地滚向最近的洛克！想在闪光中跳跃，想一起共舞一辈子！,安可-使用光系技能后，回合结束时自己返场。,电-光,551,83,95,111,52,106,104,1,0,,0.47-0.68,26.0-37.1,动物组-大地组,雄性 50% / 雌性 50%,炫光迪迪进化链,否,否,是
370,霹雳迪迪,迪斯科精灵,古老物种在漫长的时间里发生演化，曾经独自栖息在安静与黑暗里面，偶尔靠敲击山石的回音和其他个体沟通。这让它们对声音无比敏感和渴望，它们拥有坚定的心，一直等到可以在光里热烈地表达。,安可-使用光系技能后，回合结束时自己返场。,电-光,690,104,119,139,65,133,130,2,32,,1.6-1.87,66.8-89.3,动物组-大地组,雄性 50% / 雌性 50%,炫光迪迪进化链,否,否,是
371,小鼓象,象精灵,鼻子和尾巴末端有个圆圆的结，走路时摇摇摆摆，肚子被敲出奇妙的鼓点，其他精灵们听到后不由自主地被吸引，跟着它的鼓点巡游。,合拍-本回合与敌方使用的技能在系别/类型/能耗上每有1项相同，回合结束时获得物攻和物防永久+10%。,机械,513,104,86,56,139,64,64,1,0,,0.64-0.83,5.16-8.3,动物组-机械组,雄性 50% / 雌性 50%,小鼓象进化链,否,否,是
372,巨鼓象,象精灵,经常把听到过的旋律一段一段地敲出来，但是它的记忆力不太好，经常把好几首曲子混在一起敲，发出谁也听不懂的节奏，只有巨鼓象自己敲得很起劲。有评论家说，虽然听不懂，但别有一番风味。,合拍-本回合与敌方使用的技能在系别/类型/能耗上每有1项相同，回合结束时获得物攻和物防永久+10%。,机械,640,130,107,70,173,80,80,2,36,累计跟随1分钟,0.93-1.2,35.6-59.1,动物组-机械组,雄性 50% / 雌性 50%,小鼓象进化链,否,否,是
373,牵线木偶,愉悦精灵,总是一副亲切愉悦的样子，备受小洛克们的喜欢，但似乎在没人的时候它们不会展现出一丁点生气。曾经不分昼夜持续观测一年，且让样本知道自己被观测，期间样本呈现愉悦的状态。停止观测一小时后样本所有生命体征均消失。,盲从-可以携带多个复写/借用/取念技能，非幻系技能能耗-2。,幻,509,77,83,89,69,107,84,1,0,,0.63-0.91,5.97-8.7,妖精组-拟人组,雄性 50% / 雌性 50%,牵线木偶进化链,否,否,是
374,帅帅魔偶,傀儡精灵,非常偶然的情况下发现它们殴打自己身上闪烁着的微光的提线。提线中流动着强大魔力，以此来操纵结构精巧的木质结构身体，看似十分脆弱，但在幻系魔力的支撑下，有着令人意想不到的破坏力。,盲从-可以携带多个复写/借用/取念技能，非幻系技能能耗-2。,幻,636,97,104,111,86,133,105,2,40,,0.89-1.27,15.1-21.2,妖精组-拟人组,雄性 50% / 雌性 50%,牵线木偶进化链,否,否,是
375,学院呱呱,兔兔精灵,心中怀揣着对魔法的强烈渴望和对广阔知识世界的向往，呱呱从玄玉岛来到魔法学院。咒语对它们来说就像绕口令，因此需要花费更多的时间来学习，在魔法学院的走廊，经常能看到它们带着歪歪扭扭的自学笔记飞奔的身影。,留学生-自己全技能能耗+2，可以学习全部攻击技能石。,武,614,132,99,99,92,92,100,1,0,,0.49-0.66,4.82-5.5,,雄性 50% / 雌性 50%,呱呱进化链,否,否,否
376,烈钻鸟,鸟仔精灵,喙部末端附着一层极硬的角质结构，快速啄击树干时能摩擦产生火星。经常能在林中看到它们一排排地啄树，似乎还没学会控制力度。被啄焦的树干是辨认这个种群栖息地的最好标志。,不死鸟-每场战斗1次，受到致命伤害时保留1血，且敌方获得15层灼烧。,火-翼,353,56,49,60,43,73,72,1,0,,0.67-0.95,4.7-5.8,天空组-动物组,雄性 50% / 雌性 50%,烈钻鸟进化链,否,否,否
377,长尾火鸟,鸟仔精灵,飞行时火焰席卷全身，在天空中拉出一道灼目的火痕。实际观测发现，它们的翅膀扇动频率远低于同体型鸟类，真正提供飞行推力的是尾部持续喷射的烈焰。,不死鸟-每场战斗1次，受到致命伤害时保留1血，且敌方获得15层灼烧。,火-翼,471,75,65,80,58,97,96,2,25,,0.84-1.2,15.5-21.6,天空组-动物组,雄性 50% / 雌性 50%,烈钻鸟进化链,否,否,否
378,火羽,涅槃精灵,整个种群中最罕见的形态，全身的火焰从未真正熄灭过。当生命走到新的阶段，它会主动飞向高空中最炽烈的那团火，将自己一同烧尽，而落在地面的那撮灰烬里，会诞生一枚新的蛋。,不死鸟-每场战斗1次，受到致命伤害时保留1血，且敌方获得15层灼烧。,火-翼,589,94,82,100,72,121,120,3,35,,1.33-1.91,79.6-87.5,天空组-动物组,雄性 50% / 雌性 50%,烈钻鸟进化链,否,否,否
379,叮叮卯,蜻蜓精灵,每一只叮叮卯都对应古堡中的某一扇门。想打开那扇门？先抓住它。但它飞行轨迹极其刁钻。好奇心很重，有时候反而会主动凑近你观察，一伸手就飞走了，留下一串叮叮的嘲笑声。,上锁-对手本回合使用的技能，冷却1回合。,机械-虫,502,117,45,81,75,136,48,1,0,,0.14-0.31,0.3-0.9,昆虫组-机械组,雄性 50% / 雌性 50%,叮叮卯进化链,否,否,否
380,飞飞钥,蜻蜓精灵,翅膀上的纹路变得更加复杂，据说纹路的图案和它守护的那扇门有关。它们会在飞行中观察追逐者，如果它主动落在你的手心里，恭喜你，是门后的秘密选中了你。,上锁-对手本回合使用的技能，冷却1回合。,机械-虫,628,146,57,101,94,170,60,2,32,,0.38-0.51,1.15-1.9,昆虫组-机械组,雄性 50% / 雌性 50%,叮叮卯进化链,否,否,否
381,碎晶蝎,蝎子精灵,钳子其实还很脆弱，夹不碎太硬的东西。尾巴尖上粘着几块它从地底矿脉上敲下来的水晶，这可是非常厉害的成果，它见谁都举着尾巴，以此显示自己厉害。,流沙统治者-天气为沙暴时，自己获得速度+50。,恶-地,386,65,76,70,71,47,57,1,0,,0.4-0.54,9.32-14.5,昆虫组-大地组,雄性 50% / 雌性 50%,碎晶蝎进化链,否,否,否
382,晶尾蝎,蝎子精灵,不停锤炼自己，以获得更强的力量。它开始主动挑战占据优质矿脉的对手，被它占领过的矿脉上都留着深深的钳痕，就像是它们的签名。,流沙统治者-天气为沙暴时，自己获得速度+50。,恶-地,515,86,101,94,95,63,76,2,20,,0.48-0.59,15.5-25.5,昆虫组-大地组,雄性 50% / 雌性 50%,碎晶蝎进化链,否,否,否
383,蝎子王,蝎子精灵,头上的王冠是它从地底最硬的矿石上凿下来自己戴上的，非常霸道，会霸占矿脉最好最显眼的地段趴着晒太阳，太阳让他的钳子拥有更强的力量。,流沙统治者-天气为沙暴时，自己获得速度+50。,恶-地,644,108,126,117,119,79,95,3,40,,0.61-0.82,33.0-45.0,昆虫组-大地组,雄性 50% / 雌性 50%,碎晶蝎进化链,否,否,否
384,森豆丁,巨人精灵,“■■过处。■■生芽。” “不知■■。只觉世间常有新绿。” “■■，飘零。尚不知此言何意。” ——拓自巨人裂谷苔壁,盘根木-初始生命为10%，入场前己方精灵每使用1次草系技能，回复30%生命。,草,396,87,93,42,79,53,42,1,0,,0.72-1.1,16.0-27.7,巨灵组-拟人组,雄性 50% / 雌性 50%,森豆丁进化链,否,否,否
385,森蛮人,巨人精灵,“伤者愈，周遭同绿。” “连枝者参天。” “行过之处，枝连枝，根连根。” ——拓自巨人裂谷断崖,盘根木-初始生命为10%，入场前己方精灵每使用1次草系技能，回复30%生命。,草,527,115,124,56,106,70,56,2,28,,1.05-1.39,71.0-100.0,巨灵组-拟人组,雄性 50% / 雌性 50%,森豆丁进化链,否,否,否
386,森巨人,巨人精灵,“此地曾为荒石。有巨型精灵驻足，■■■■。” “草本同春，荣枯有时。三者相依，■■广袤；各自孤生，沦为■■。” ——一处比较新的草系氏族笔触刻凿痕迹,盘根木-初始生命为10%，入场前己方精灵每使用1次草系技能，回复30%生命。,草,659,144,155,70,132,88,70,3,40,,1.41-1.69,160.7-200.0,巨灵组-拟人组,雄性 50% / 雌性 50%,森豆丁进化链,否,否,否
387,霹雳宝宝,爱音乐精灵,额前的闪电印记平时并不蕴含电能，可一旦周围响起音乐，便会迅速通体带电。常能看见三两只聚在一处，一边蹦跳一边迸出细小的电火花，这是它们正在彼此充电。,电子音乐-天气为雷鸣时，使用电系技能后敌方获得引电。,电,381,54,66,66,67,56,72,1,0,,0.57-0.71,6.68-10.8,巨灵组-拟人组,雄性 50% / 雌性 50%,霹雳宝宝进化链,否,否,否
388,雷鸣小子,爱音乐精灵,在野外撞见它们时，总能听见断断续续的哼唱，谁也听不出是什么曲子，却莫名洗脑。它们其实是在用声音与旋律交谈，每一段哼唱里都藏着想要递给同伴的话。,电子音乐-天气为雷鸣时，使用电系技能后敌方获得引电。,电,508,72,88,88,90,74,96,2,22,,0.85-1.1,27.9-57.1,巨灵组-拟人组,雄性 50% / 雌性 50%,霹雳宝宝进化链,否,否,否
389,雷神之子,爱音乐精灵,歌声与电能已经完全融为一体，群体齐唱时，对其他种族而言那是一场雷暴，对它们而言只是一次合唱，某位魔法学院爱音乐的老师曾经评价它们：曲子很好听，也很致命。,电子音乐-天气为雷鸣时，使用电系技能后敌方获得引电。,电,635,90,110,110,112,93,120,3,40,,1.44-1.73,77.0-91.3,巨灵组-拟人组,雄性 50% / 雌性 50%,霹雳宝宝进化链,否,否,否
390,雪灵兽,雪狐精灵,白色绒毛软得像刚落的新雪，非常温顺，会安安静静地跟在洛克身后，偶尔用湿凉的鼻尖轻轻碰一下洛克的手，它很乐意被洛克抱着、被摸头、被带着散步。,冰雪魂魄-天气为暴风雪时，冰系技能威力+100%。,冰,331,62,51,14,67,62,75,1,0,,0.47-0.59,5.0-6.9,动物组,雄性 50% / 雌性 50%,雪灵兽进化链,否,否,否
391,幻雪兽,雪狐精灵,体型长大了一些，白毛更浓密，它依然允许洛克靠近，但是已经学会了要保持一点距离。它有时候会突然停下来，抬头嗅着风中的气息，眼睛里掠过一丝野性。,冰雪魂魄-天气为暴风雪时，冰系技能威力+100%。,冰,441,83,68,19,89,82,100,2,32,,0.66-0.91,9.8-19.1,动物组,雄性 50% / 雌性 50%,雪灵兽进化链,否,否,否
392,饮雪狂兽,雪狐精灵,暴风雪来的时候它们会迎着风跑出去，它以雪为食，等风暴过去，又会安静地回到洛克身边，它们的眼睛里比小时候多了许多丰富的情绪，不曾改变的是一份从未消失的倔强。,冰雪魂魄-天气为暴风雪时，冰系技能威力+100%。,冰,552,104,85,24,111,103,125,3,46,,1.45-1.9,61.3-84.3,动物组,雄性 50% / 雌性 50%,雪灵兽进化链,否,否,否
393,火豆丁,巨人精灵,滚烫的岩石对这个种群而言就是皮球，它们会把熔岩抱着、滚着、互相砸着玩。它们不明白为什么其他精灵和洛克看到它们就跑。想跟外族打招呼时会双拳碰击，但这个动作至今被误读为宣战——因此火系部族的“社交”几乎全部以战斗收场。,淬炼火-入场前己方精灵每使用1次火系技能，获得攻防+10%，速度+10。（最多触发10次）,火,214,45,46,15,49,30,29,1,0,,0.88-1.25,7.5-11.0,巨灵组-拟人组,雄性 50% / 雌性 50%,火豆丁进化链,否,否,否
394,火蛮人,巨人精灵,群体活动时，方圆百米内都会火星四溅。它们觉得这很热闹，完全不理解附近的精灵为什么会逃走。它们偶尔会把熔岩块扔向其他部族当打招呼，三族争斗大多是这么挑起的。,淬炼火-入场前己方精灵每使用1次火系技能，获得攻防+10%，速度+10。（最多触发10次）,火,287,60,62,20,65,41,39,2,28,,1.48-1.76,41.0-67.7,巨灵组-拟人组,雄性 50% / 雌性 50%,火豆丁进化链,否,否,否
395,火巨人,巨人精灵,躯体中流淌着不灭的岩浆，是巨人裂谷中破坏力最强的种群，实际整座山体的热源都来自于它们，不论是山下的温泉，还是热流，都源于它们无意间溢出的热量。,淬炼火-入场前己方精灵每使用1次火系技能，获得攻防+10%，速度+10。（最多触发10次）,火,359,75,77,26,81,51,49,3,40,,1.82-2.35,110.0-159.0,巨灵组-拟人组,雄性 50% / 雌性 50%,火豆丁进化链,否,否,否
396,友爱天天,朋友精灵,对它来说世界上没有陌生的洛克，只有还没认识的朋友。只要对它微笑一下，它头顶的光圈就会闪一闪，然后它会非常认真地记住这个小洛克。,友谊之果-回合结束时，双方队伍中的所有精灵回复1能量。,普通,446,97,30,93,70,80,76,1,0,,0.28-0.41,2.97-4.19,天空组-妖精组,雄性 50% / 雌性 50%,友爱天天进化链,否,否,否
397,友爱星飞,好朋友精灵,它们相信友谊不会消失，而会变成星星。积攒了足够多的友谊之后，这些关于友谊的愿力汇聚成了它尾部的一颗星。洛克触碰它们的星星后，能想起彼此陪伴中开心的事情。,友谊之果-回合结束时，双方队伍中的所有精灵回复1能量。,普通,558,122,37,116,88,100,95,2,32,,0.45-0.69,7.65-11.08,天空组-妖精组,雄性 50% / 雌性 50%,友爱天天进化链,否,否,否
398,莫比乌乌,循环精灵,透明的小身体里能看到水在不停地转啊转，它总是开心地扭来扭去。有时候睡一觉就长大了，再睡一觉又回到了小时候，它对此毫不困扰，哪里都可以是新的起点。,莫比乌斯-回合结束时，若自己的能量为0，则回复10能量。,龙-萌,436,72,36,98,66,84,80,1,0,,0.58-0.78,2.8-4.8,妖精组-飞龙组,雄性 50% / 雌性 50%,莫比乌乌进化链,否,否,否
399,克莱因龙,循环精灵,变大之后逐渐能控制身体中能量的循环，像推动一条流动的河，没有源头也没有尽头，它只是慢慢地看生命循环往复。,莫比乌斯-回合结束时，若自己的能量为0，则回复10能量。,龙-萌,545,90,45,122,83,105,100,2,36,,1.38-1.68,28.0-48.0,妖精组-飞龙组,雄性 50% / 雌性 50%,莫比乌乌进化链,否,否,否
400,瑰眼仔,呆呆精灵,总是缩在某个角落里不知道在想些什么，看似脑袋空空双眼无神，一副呆呆的样子。额头上第三只眼睛不是用来作为视觉器官，而是用来探测魔法能量的痕迹，使用时需要放空所有杂念。,瞳中倒影-自己或其他精灵离场时，自己与更换入场的精灵交换血量百分比。,恶-虫,373,67,59,60,59,71,57,1,0,,0.4-0.58,3.99-5.5,巨灵组-昆虫组,雄性 50% / 雌性 50%,瑰眼仔进化链,否,否,否
401,耳翎瑰魅,呆呆精灵,耳边的翎毛可以隔绝大部分声音，听力很差很差。研究人员从翎毛的特征入手进行分析，发现其在越嘈杂的环境下眼中的魔力越强。,瞳中倒影-自己或其他精灵离场时，自己与更换入场的精灵交换血量百分比。,恶-虫,497,89,78,80,79,95,76,2,28,,0.89-1.08,13.4-19.1,巨灵组-昆虫组,雄性 50% / 雌性 50%,瑰眼仔进化链,否,否,否
402,邪眼巨魔,恶魔精灵,原来它们一直在通过魔法感知高纬度能量，是十分谨慎的种族，甚至睡眠时间极短，常处于高度紧张的戒备状态。通过极短的间歇性闭目养神回复第三只眼睛中的魔力。,瞳中倒影-自己或其他精灵离场时，自己与更换入场的精灵交换血量百分比。,恶-虫,621,111,98,99,99,119,95,3,38,,1.35-1.58,49.0-56.0,巨灵组-昆虫组,雄性 50% / 雌性 50%,瑰眼仔进化链,否,否,否
403,觅觅蝠,翻垃圾精灵,常出现在垃圾堆和阴暗潮湿的洞穴里，常看到它们同类之间碰碰鼻子交流。看起来似乎是鼻子的部分用来放出声波探测周围信息，对味道的感知几近于零。,异类-携带的翼系攻击技能获得选择：能耗+1，攻击时吸血50%。,翼,360,76,60,59,58,74,33,1,0,,0.65-0.79,6.63-9.37,巨灵组-天空组,雄性 50% / 雌性 50%,觅觅蝠进化链,否,否,否
404,翻翻蝠,翻垃圾精灵,声波探测的范围变大了，专门翻找被其他精灵丢弃的东西。它们的鼻子能穿透层层堆积物精确定位目标，找到好东西后会兴奋地跟同伴碰鼻分享消息。,异类-携带的翼系攻击技能获得选择：能耗+1，攻击时吸血50%。,翼,478,101,79,78,78,98,44,2,16,时间段18点~次日6点,0.75-0.98,16.9-24.7,巨灵组-天空组,雄性 50% / 雌性 50%,觅觅蝠进化链,否,否,否
405,夜游魔,大蝙蝠精灵,一到天黑就集体出动，在夜空中无声地滑翔游荡。声波探测让它们在纯黑环境中如鱼得水。附近居民吓唬小小洛克说天黑不回家的话会被夜游魔吃掉。某些个体对此表示不赞同。,异类-携带的翼系攻击技能获得选择：能耗+1，攻击时吸血50%。,翼-恶,598,126,99,98,97,123,55,3,32,时间段18点~次日6点,1.38-1.75,49.3-71.3,巨灵组-天空组,雄性 50% / 雌性 50%,觅觅蝠进化链,否,否,否
406,芽眼魔,眼精灵,该种群的幼体已经展现出极强的领地排他性。眼球还很脆弱，几乎全天处于睡眠状态，但头顶的芽始终保持警戒，它们通过头顶的芽感受和接收外界一切信息。,滴眼液-天气为雨天时，使用水系攻击技能时吸血50%。,恶-水,370,80,62,59,58,66,45,1,0,,0.44-0.64,2.95-3.4,巨灵组-妖精组,雄性 50% / 雌性 50%,芽眼魔进化链,否,否,否
407,叶眼魔,眼精灵,如果你不幸走进了叶眼魔的领地，你会注意到空气中有一种异样的压迫感，好像被很多眼睛同时审视着，从不同角度同时锁定你。,滴眼液-天气为雨天时，使用水系攻击技能时吸血50%。,恶-水,492,107,82,78,77,88,60,2,30,,0.69-0.98,20.5-28.6,巨灵组-妖精组,雄性 50% / 雌性 50%,芽眼魔进化链,否,否,否
408,障眼魔,眼精灵,小心了！被它们注视一分钟就会浑身起疹子！研究员如是说。遇到它们最明智的做法是缓慢后退，不要发出任何响声，直到缓慢退出它们的领地。,滴眼液-天气为雨天时，使用水系攻击技能时吸血50%。,恶-水,616,134,103,98,96,110,75,3,50,,1.49-1.8,66.5-89.0,巨灵组-妖精组,雄性 50% / 雌性 50%,芽眼魔进化链,否,否,否
409,星云旅者,神秘精灵,没有人知道这个种群从哪里来。它们总是独自出现在山顶或旷野中，对着夜空静坐。有幻系学者推测它们是在接收星云中某种信息，也有洛克认为，它们是很久以前被许愿召唤下来的，只是忘记了回去的路。,与星星同行-攻击时，将敌方所有印记变为相同层数的星陨印记。,翼-幻,572,104,32,129,104,83,120,1,0,,1.85-2.3,58.5-80.0,妖精组-魔力组,雄性 50% / 雌性 50%,星云旅者进化链,否,否,否
410,点点,鼬精灵,它天生看不得任何脏东西，会忍不住吐出小泡泡去擦，但力道和数量都控制不好，经常把别人的窝弄得到处是泡沫，对每一个角落都要检查一遍，被赶走的话会露出十分委屈的表情。,迎宾-自己或其他精灵离场时，更换入场的精灵获得萌化。,萌,449,94,41,84,56,94,80,1,0,,0.41-0.55,2.91-3.89,动物组-妖精组,雄性 50% / 雌性 50%,点点进化链,否,否,否
